Funding Sentences,Funding Sources
"Department of Energy Office of Energy Efficiency and Renewable Energy Wind Energy
Technologies Office and supported by the Laboratory Directed Research and Development (LDRD) Program at
NREL","['Department of Energy Office of Energy Efficiency and Renewable Energy Wind Energy\r\nTechnologies Office', 'the Laboratory Directed Research and Development']"
"Naturally, with incentives and subsidies
grid parity can be reached even faster, however grid
parity reached with public financial support often is
disregarded",[]
"This material is based upon work supported by Tucson Electric Power, Arizona Public Service, the National Science Foundation under grant DMS-1619630, and by the Alfred P","['Tucson Electric Power', 'Arizona Public Service', 'the National Science Foundation', 'Alfred P']"
Tilmann Gneiting acknowledges funding from the European Union Seventh Framework Program under grant agreement no,['the European Union']
"A part of this
work was supprted by JSPS KAKENHI Grant Nomber JP 20H00649",['JP']
"26

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

1",['DEWEPS']
"2010

3/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

Evaluation of the expected wind power forecasting accuracy in future scenarios can therefore facilitate wind integration and this is most likely even becoming of commercial interest as the market value of the wind generated electricity and the feed-in limits may become of more interest as incentives level off",['DEWEPS']
"2010

4/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

As an example of a rather disappointing speed of development is the ensemble forecasting",['DEWEPS']
"2010

5/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

2",['DEWEPS']
"2010

6/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

NWP model configuration changes/upgrades
75 Members, Europe area, 8 Boundary members, stand","['DEWEPS', 'NWP']"
"2010

7/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

The challenge has therefore been to maintain model stability for significantly tall moun tains",['DEWEPS']
"2010

8/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

The overall result was that there was a clear benefit during the most windy months, but
the spatial resolution were at times not competitive with high resolution setups, because
these have a better land sea mask definition",['DEWEPS']
"2010

9/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

It is very promising that dedicated efforts on critical points in the model chain can lead to
significant improvements",['DEWEPS']
"2010

10/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

The basic purpose of the European SuperGrid is hence to make the total wind power generation more correlated with the demand and thereby increase the economic value of wind
power",['DEWEPS']
"2010

11/27

PSO F&U Project funded by:

DEWEPS Project

●

●
●
●
●

●
●
●

●
●

●

●

●

●

– Interim Public Report 1 -

The high level of energy generation from nuclear and brown coal in Germany generates stiffness in the system, because nuclear power and brown coal plant can
only be used for base load
Fixed price incentives are required, if wind, brown coal and nuclear generation
should be the main generation sources
The need of wind to act as ancillary service increases with the amount of wind and
constant nuclear power and brown coal generation
Low average wind speeds cause additional surplus of power generation from fossil
and nuclear power, whenever there is strong wind during periods of low demand
Offshore wind power helps to reduce the number of hours with negative prices compared to a scenario of equivalent amount of generation at lower average wind
speeds on land
It is rather the total amount of wind generation than the penetration level that
causes price volatility
Germany has operated since many years with different day and night prices for the
consumers in some areas to reduce the diurnal cycle of the demand",['DEWEPS']
"2010

12/27

PSO F&U Project funded by:

DEWEPS Project

●

●

– Interim Public Report 1 -

Higher incentives and discontinuation of nuclear power generation is required to accelerate Germany's transition to renewable energy","['12/27\r\n\r\n\x0cPSO F&U Project', 'DEWEPS']"
"2010

13/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

Because the database has a higher resolution in time and space than any other ensemble
system on this spatial scale, the database can be considered the best that is available",['DEWEPS']
"2010

14/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

This approach is already now suitable for forecasting for large volumes of wind power, but
will become an even more useful tool if balancing of wind power is shared over even larger
areas as it is currently practised in Germany",['DEWEPS']
"2010

15/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

The generated data and generalised power curve fitting approach provides the possibility
to develop important expertise in large and very large-scale wind integration and will be of
significant value in the globalized future, as well as centralised forecasting and publication
of relevant data, as probabilistic forecasts will be necessary to enhance transparency and
competition",['DEWEPS']
"2010

16/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

Figure 4 shows the typical output of combined forecasts (also referred to as meta forecasts)",['DEWEPS']
"2010

17/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

Figure 1: Short-term Ensemble Forecast (9h) from the 11th June 2010 displayed in horizontal plots of wind power load factor, inclusive wind speed arrows and isobars","['17/27\r\n\r\n\x0cPSO F&U Project', 'DEWEPS', 'Ensemble Forecast']"
"2010

18/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

Figure 2: Ensemble Forecast (39h) from the 10th June 2010 displayed in horizontal plots of
wind power load factor, inclusive wind speed arrows and isobars","['18/27\r\n\r\n\x0cPSO F&U Project', 'DEWEPS']"
"2010

19/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

Figure 3: Probabilistic 48h wind power forecast for Germany on the 10th June 2010",['DEWEPS']
"2010

20/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

Figure 4: wind power forecast at the 10th June 2010 and 48h ahead from different forecast systems",['DEWEPS']
"2010

21/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

The two events were similar in one way, but different in many other ways",['DEWEPS']
"2010

22/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

Even if we consider the operational forecasts in the two events, it was found that they under-predicted strongly, while the percentile P85 was in both cases nearly perfect",['DEWEPS']
"2010

23/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

The example has been chosen to demonstrate that the evolution on the weather depends
on factors that cannot always be predicted explicitly",['DEWEPS']
"2010

24/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

The TSO and consumers should essentially both prefer a stable energy price and a competitive market as this is the best basis to operate the grid in a stable manor","['DEWEPS', 'TSO']"
"2010

25/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

Finally, it should be pointed out that the wind power capacity is increasing in new growing
markets (especially in the eastern European counties), where there is not yet much experience with wind power","['25/27\r\n\r\n\x0cPSO F&U Project', 'DEWEPS']"
"2010

26/27

PSO F&U Project funded by:

DEWEPS Project

– Interim Public Report 1 -

Given these criteria it is non trivial to state that a forecast is good or bad by only looking
at a RMSE measure","['DEWEPS', 'RMSE']"
"Acknowledgment
The work was supported by the EUD Programme through the ‘Coordinated Operation of Integrated Energy
Systems (CORE)’ project under the grant 64017-0005","['the EUD Programme', 'the ‘Coordinated Operation of Integrated Energy\r\nSystems', 'CORE']"
"Research toward Multi-Site Characterization of Sky Obscuration by Clouds,
Final Report for Grant N00244-07-1-009, Marine Physical Laboratory, Scripps
Institution of Oceanography, University of California San Diego, Technical Note 274","['Multi-Site Characterization of Sky Obscuration', 'Clouds', 'Final Report', 'Marine Physical Laboratory', 'Scripps\r\nInstitution of Oceanography, University of California San Diego']"
This work was supported by NSF grant #1934721 and by DARPA award W911NF-18-1-0027,"['NSF', 'DARPA']"
"[245] Christian Tesche, Carlo N De Cecco, Stefan Baumann, Matthias Renker, Tindal W McLaurin, Taylor M Duguay,
Richard R Bayer 2nd, Daniel H Steinberg, Katharine L Grant, Christian Canstein, et al","['Carlo N De Cecco', 'Christian Canstein']"
"Supported by statistics from the latest BITRE
(2009c) report (see Figure 1) as well as earlier Bureau investigations, some appropriate
corridors for further analysis can be identified",['Bureau']
"Grant, D",[]
"Acknowledgements
This research was funded by National Natural Science Foundation of China, grant number 52171259, Young Scientists Fund , grant
number 51809124 and International Cooperation and Exchange Programme, grant number 51911530156","['National Natural Science Foundation of China', 'Young Scientists Fund', 'International Cooperation and Exchange Programme']"
"The work is also supported
under Swedish Foundation for International Cooperation in Research and Higher Education, grant number CH2018-7827 and Tra­
fikverket,grant number TRV 2017/64978","['Swedish Foundation for International Cooperation in Research and Higher Education', 'TRV']"
"Acknowledgment
This work was supported by the National Social Science Foundation of China [Grant no",['the National Social Science Foundation of China']
"Funding: The research work was supported by the European Union funded project: ‘HEAlthier
Cities through Blue-Green Regenerative Technologies: the HEART Approach’—‘HEART’ under the
European Union and the grant agreement No","['the European Union', 'Blue-Green Regenerative Technologies', 'the\r\nEuropean Union']"
"ACKNOWLEDGMENT
This work was funded by the German Federal Ministry of
Economic Affairs and Energy (BMWi) within the RTAPHM
project (contract code: 20X1736M) in the national LuFo V-3
program","['the German Federal Ministry', 'RTAPHM']"
"Su’s work was supported in part by the Macao
Science and Technology Development Fund FDCT/060/2014/A2
and the Research Committee of the University of Macau under
the Grant MYRG2014-00014-FST","['the Macao\r\nScience and Technology Development Fund FDCT/060/2014', 'the Research Committee', 'the University of Macau', 'the Grant MYRG2014-00014-FST']"
"Shu’s work was supported
in part by the Research Committee under the Grants MYRG090(Y1L2)-FBA13-SLJ and MYRG2016-00012-FBA, and the Macao Science
and Technology Development Fund FDCT/053/2015/A2","['the Research Committee', 'the Grants MYRG090(Y1L2)-FBA13-SLJ', 'the Macao Science\r\nand Technology Development Fund FDCT/053/2015/A2']"
"from the number is the semantic information, not information in
This work was supported by the US Department of Energy, Office of the sense used by Shannon","['the US Department of Energy, Office of the']"
"Antonanzas acknowledges fellowships FPI-UR-2014 and ATUR
grant 17/03 from the University of La Rioja","['FPI-UR-2014', 'ATUR', 'the University of La Rioja']"
"David Pozo-Vazquez is
supported by the Spanish Ministry of Economy and Competitiveness
project ENE2014-56126-C2-1-R",['the Spanish Ministry of Economy and Competitiveness']
"This work used the Beronia cluster
(Universidad de La Rioja), which is supported by FEDER-MINECO Grant
No",['Universidad de La Rioja']
"Utilities and fossil fuel companies have known about climate change and its
projected harms to people and the environment since the 1960s yet have
consistently funded climate denial, resisted clean air and water regulations, and
actively fought efforts to build up renewable energy markets through shady
industry association groups, often funded by their ratepayers",['Utilities']
"Photocopies
Subject to payment of the appropriate fee, IEEE will grant users a limited, non-exclusive license to
photocopy portions of any individual standard for company or organizational internal use or individual,
non-commercial use only",['IEEE']
"Letters of Assurance may
indicate whether the Submitter is willing or unwilling to grant licenses under patent rights without
compensation or under reasonable rates, with reasonable terms and conditions that are demonstrably free of
any unfair discrimination to applicants desiring to obtain such licenses",[]
"For example, if the affected equipment is currently supported by a means of power conditioning or
filtering, a decision should be made about the sequence of monitor placement",[]
"Acknowledgments
This research is supported in part by the Information Society Technologies programme of the European
Commission, Future and Emerging Technologies under the IST-2001-32645 DBGlobe project, the IXNILATHS project funded by the Greek General Secretariat of Research and Technology, and the Faculty
Research Award Program at the University of Texas
at San Antonio","['the Information Society Technologies', 'the European\r\nCommission', 'Future and Emerging Technologies', 'DBGlobe', 'IXNILATHS', 'the Faculty\r\nResearch Award Program', 'the University of Texas']"
"3 Wind Forecasting Datasets
The Wind Integration National Dataset (WIND) Toolkit was created through
the collaborative efforts of National Renewable Energy Laboratory and 3TIER
and has been funded by the US Department of Energy, Office of Energy Efficiency and Renewable Energy, Wind and Water Power Technologies Office
[26, 27]","['The Wind Integration National Dataset', 'National Renewable Energy Laboratory', 'the US Department of Energy, Office of Energy Efficiency and Renewable Energy', 'Wind and Water Power Technologies Office']"
"Acknowledgement
The authors would like thank the financial support from Department of Industrial Technology, Ministry
of Economic Affairs under the Grant 98-EC-17-A-07-S2-0029","['Department of Industrial Technology', 'Economic Affairs']"
"Funding: This research was funded by the Norwegian University of Science and Technology AI Lab and the
European Research Consortium for Informatics and Mathematics (ERCIM)","['the Norwegian University of Science and Technology AI Lab', 'the\r\nEuropean Research Consortium for Informatics and Mathematics', 'ERCIM']"
"68
Evidence of increasing hurricane strength in the
Atlantic and other oceans with linkages to rising
sea surface temperatures is also supported by satellite records dating back to 1981",[]
"In response to concerns about increasing flood risk, King County, Washington, approved plans in 2007 to
fund repairs to the county’s aging levee system",[]
"University of Hawaii Sea Grant Program, Honolulu, 100
pp",['University of Hawaii Sea Grant Program']
"com/
Jeffrey Smith; San Francisco, Grant Goodge,STG Inc",['STG Inc']
"com/Jeffrey Smith; San
Francisco, Grant Goodge,STG Inc",['STG Inc']
"of Washington
Page 47: Turbidity in New York City’s Ashokan, Thurlough Smyth,
Climate Change Planning,New York City Department of
Environmental Protection, Bureau of Environmental Planning
& Assessment
Page 48: Flood water road damage, Grant Goodge, STG Inc","['Climate Change Planning', 'Bureau of Environmental Planning\r\n& Assessment\r\nPage', 'STG Inc']"
"Page 97: Poison ivy plant and girl scratching, Sara Veasey, NOAA/
NCDC
Page 98: EMS officer and woman, Sara Veasey, NOAA/NCDC
Page 99: San Franciso, Grant Goodge, STG Inc","['Poison', 'NCDC', 'Page 98', 'EMS', 'NOAA', 'NCDC', 'STG Inc']"
"Firstly, this paper focuses on a detailed analysis of
the calm water powering, using voyage (operation) data supported by and compared to standard
estimation techniques and model test data",[]
"In this
study, we focus on the analysis of calm water powering, using voyage (operational) data supported by
and compared to, standard estimation techniques and model tests",[]
"A part of this
work was supprted by JSPS KAKENHI Grant Nomber JP 20H00649",['JP']
"This work was supported by
the National Natural Science Foundation of China under Grant 41571397,
Grant 41501442, Grant 41871364, Grant 51678077, Grant 71871224, and
Grant 41771492","['the National Natural Science Foundation of China', 'Grant 41871364']"
This opinion is supported by ﬁndings presented in Hisashi et al,[]
"This is supported by
the clustering of periods of relatively high volatility and relative tranquillity in Fig",[]
"Acknowledgements
This work was partially financed by the European Union’s Horizon 2020 research and innovation programme under grant agreement No",['the European Union’s Horizon 2020']
"be
Funding information
Australian Renewable Energy Agency;
Research Foundation-Flanders (FWO),
Grant/Award Numbers: 1S82518N,
V415620N
Edited by: Damian Flynn, Associate
Editor and Peter Lund, Co-Editor-in-Chief

voltaic systems, electric vehicles, and batteries, can potentially cause voltage
quality issues in distribution networks","['Australian Renewable Energy Agency', 'Research Foundation-Flanders', 'FWO', 'Grant/Award Numbers']"
", 2013)7
The share of LV networks in those data sources is limited, therefore we call out some of the key data sets:
• IEEE European Low Voltage Test Feeder (one of IEEE PES test feeders)
• LV network solutions test feeders (128 residential networks; Low Carbon Networks Fund, 2014)
• CIGRE “Benchmark systems for network integration of renewable and distributed energy resources” (Strunz
et al","['LV', 'PES', 'Low Carbon Networks Fund']"
"These are relatively recent features which
are not supported by all modeling languages",[]
"Claeys carried out this research while holding a doctoral (PhD) strategic basic research grant (1S82518N) of Research
Foundation - Flanders (FWO)","['Research\r\nFoundation - Flanders', 'FWO']"
"33 of 35

Low Carbon Networks Fund",[]
uk/go-net-zero/innovation/smaller-projects/low-carbon-networks-fund/low-voltage-network-solutions/lowvoltage-network-solutions-closedown-report/,[]
"APPLICATIONS FOR μ PMU DATA
A broad spectrum of potential distribution system
applications could hypothetically be supported by μPMU data
(or, in some cases, by conventional PMU data), as has been
noted in the literature",[]
"“Application of Advanced Wide
Area Early Warning Systems with Adaptive Protection—Phase 2,”
CIEE , Project report to US DOE, Grant #DE-OE0000120, December
2011",['Adaptive Protection']
"Eto

Ernest Orlando Lawrence Berkeley National Laboratory
1 Cyclotron Road, MS 90R4000
Berkeley CA 94720-8136

November 2020

The work described in this study was funded by the Energy Resilience Division of the U","['Lawrence Berkeley National Laboratory', 'Berkeley CA 94720-8136', 'the Energy Resilience Division']"
"Acknowledgments
The work described in this study was funded by the U",[]
This work was supported by the Energy Resilience Division of the U,['the Energy Resilience Division']
"Cost recovery request and outcome
In November 2004, FPL reported to the FPSC that in the recovery and restoration following that year’s
hurricanes it had incurred “extraordinary” costs of about $710 million net of insurance, leaving a $356
million deficit in its storm reserve fund",['FPL']
"The
MSCR fund also allows a utility such as UES to recover costs incurred to prepare for major forecasted
storms",['UES']
"25,351, which is within the DE 11-277 filing)
requires that UES “file annual reports to the Storm Reserve Fund and storm recovery updates for those
storms where costs are recovered through the SRAF” (NHPUC 2010, 2011, UES 2018a)","['UES', 'the Storm Reserve Fund', 'SRAF', 'UES']"
"Economic Impacts of Power Interruptions and Damage to Electricity System Infrastructure from Extreme Events
│76

Categories of expenses: UES’s MSCR Fund Report of 2017 documents the qualifying costs charged to
the storm reserve",['UES’s MSCR Fund Report']
"As of May 1, 2019, the amount to
be added annually to the fund to support storm recovery is $800,000",[]
"Methods and techniques to estimate costs to utilities: In its annual reports on the MSCR Fund, UES
includes the costs of each storm in a particular year along with a breakdown according to the types of
expenses (UES 2018a, 2019)","['the MSCR Fund', 'UES']"
"As discussed earlier, the MSCR fund is used for costs associated with recovering from qualifying major
storms",[]
"The petition consisted of two
components: (1) seeking approval of proposed tariffs to implement step increase with effective rates of
May 1, 2019; (2) requesting approval of the SRAF be adjusted to reflect the full recovery of costs
incurred from the December 2008 ice storm and the February 2010 wind storm, and the shift of cost
recovery for 2018 Winter Storm Quinn from the MSCR fund to the SRAF","['SRAF', 'SRAF']"
UES’s annual MSCR fund reports show detailed costs incurred for each storm event in a given year,['UES']
"MEA administers grant and loan programs to promote clean
energy technologies in all sectors of Maryland’s economy",['MEA']
"Major Storm Cost Reserve
Fund Report 2017",[]
"Major Storm Cost Reserve
Fund Report 2018",[]
"This task
might be supported by additional checking facilities, e",[]
"Acknowledgements This work was supported by a grant provided
for the project HANSA: Retrospective Analysis of Historical AIS
Data for Navigational Safety Through Recommended Routes","['Retrospective Analysis of Historical AIS', 'Data for Navigational Safety Through Recommended Routes']"
": Extracting Maritime Traffic Networks, Bus Inf Syst Eng 62(5):435–450 (2020)
HANSA is funded by the MarTERA partners: German Federal
Ministry of Economic Affairs and Energy (BMWi), Polish National
Centre for Research and Development (NCBR) and Research Council
of Norway (RCN) and co-funded by the European Union","['Bus Inf Syst Eng 62(5):435–450', 'German Federal\r\nMinistry of Economic Affairs and Energy', 'Polish National\r\nCentre for Research and Development', 'Research Council', 'RCN', 'the European Union']"
"At the same time the work was supported by constant data flows disseminated through
RMT",['RMT']
"The colonial system, which dominated global
trade until the 1950s, had been replaced by free trade through the General Agreement on
Tariffs and Trade, the World Bank and the International Monetary Fund","['the World Bank', 'the International Monetary Fund']"
"Connectivity and trade facilitation supported by adequate infrastructure and equipment,
technology, and private sector participation in port management have been underscored as
important for developing countries:",[]
"ACKNOWLEDGMENT
This study is supported by a project from Afyon Kocatepe
University Scientific Research Project Department which is
numbered 16",['Afyon Kocatepe\r\nUniversity Scientific Research Project Department']
"These pro­
jects should be funded and supported by governments",[]
"His industry experience started by leading
research projects and consultancies funded by different industries in
Oman and abroad",[]
"He executed more than 60 projects (research grants,
research contracts, consultancies) mainly funded by the industry and
published more than 90 articles in the electrical power engineering opera­
tion and control, renewable energy, microgrids, and power system stabi­
lity",[]
"fi)
This work was supported in part by Business Finland through the P2XENABLE Project under Grant 8588/31/2019, in part by the Academy
of Finland through the Industrial Emissions and CDR Project under Grant 329313, and in part by the LUT University Research Platform
‘‘GreenRenew","['Business Finland', 'Grant', 'the Academy\r\nof Finland', 'the Industrial Emissions', 'CDR Project', 'Grant', 'the LUT University']"
"It was not until
new political pressure, including from the Fridays for Future
movement, supported by Scientists for Future [157], [158],
that the consequence of the signed Paris Agreement was more
explicitly addressed in the public and placed at the forefront
of the political agenda","['Scientists for Future', 'Paris Agreement']"
"There is a vast
difference between a 75% penetration of VRE supported by
some synchronous generators and synchronous compensators
and a 100% VRE all-IBR system","['VRE', 'IBR']"
"Gland, Switzerland:
World Wildlife Fund, WWF, 2020","['World Wildlife Fund', 'WWF']"
"16
The American Recovery and Reinvestment Act of 2009 also allows taxpayers to
receive a grant from the U",['The American Recovery and Reinvestment Act']
"The grant is equal to 30% of the basis of the property for solar
energy",[]
"In the case of fuel cells, the grant is capped at $1500 per 0",[]
"Inner
Mongolia, Gansu and Tibet were selected as pilot provinces, and a
RMB 40 million grant was allocated for the project [86]",['Inner\r\nMongolia']
"The China
Renewable Energy Development Project (REDP), also launched in
2002 and supported by a GEF grant, provided a direct subsidy of
US$1","['The China\r\nRenewable Energy Development Project', 'REDP', 'GEF']"
"We acknowledge the Knowledge for Change Program (KCP)
Trust Fund for the ﬁnancial support","['the Knowledge for Change Program', 'KCP']"
"The impact of Galileo
Most ITS services will be supported by the combination of Galileo Open Service (OS) and the commercial
service (CS) which will provide a horizontal positioning accuracy of 4 m 95% of the time when a dual frequency Galileo receiver is used","['Galileo Open Service', 'CS']"
"Conclusions
The navigation function of an intelligent transport system can be supported by a map-matching algorithm
that integrates positioning data with spatial road network data",[]
Fund,[]
"Funding: This research was financially supported by the Ministry of Trade, Industry, and Energy
(MOTIE) and Korea Institute for Advancement of Technology (KIAT) through the National Innovation
Cluster R&D program (Advancement of an open cloud platform for smart maritime convergence
service_P0015306)","['the Ministry of Trade, Industry', 'Energy', 'Korea Institute for Advancement of Technology', 'the National Innovation\r\nCluster']"
"This work has been funded by the
German Aerospace Center (DLR) and NASA/JPL","['German Aerospace Center', 'NASA']"
"Supported by MEXT KAKENHI grants 18650054 and
20300105, Human Frontier Science Program grant
RGP51/2007, EU Framework 6 contract 12999 (NEST),
and NERC grant A/S/882","['KAKENHI', 'EU Framework 6 contract 12999', 'NEST', 'NERC']"
"This next step in NASA's

sizable grant awards to nine University Engineering
Research Centers","['NASA', 'University Engineering\r\nResearch Centers']"
"Department of Energy
Trieu Mai, National Renewable Energy Laboratory

Lawrence Berkeley National Laboratory
1 Cyclotron Road, MS 90R4000
Berkeley CA 94720-8136

April 2021

The work described in this study was funded by the Wind Energy Technologies Office of the U","['Department of Energy\r\nTrieu Mai, National Renewable Energy Laboratory', 'Lawrence Berkeley National Laboratory', 'Berkeley CA 94720-8136', 'the Wind Energy Technologies Office']"
“The Cost of Saving Electricity: A Multi-Program Cost Curve for Programs Funded by U,[]
"Acknowledgements
This research was funded by the National Natural Science
Foundation of China grant number (No",['the National Natural Science\r\nFoundation of China']
"For the
global missions supported by the OBPG, a primary focus is
on the use of consistent algorithms and calibration approaches
to produce a continuous time-series of standardised ocean
colour products for global change research and Earth system
science applications",['OBPG']
"FUNDING
We acknowledge funding from the Natural Environment
Research Council, National Centre for Earth Observation;
the NERC EO Data Acquisition and Analysis Service; the
European Space Agency Climate Change Initiative; the
European Commission; the CMEMS SE OPTIMA project;
NASA ROSES 17-TASNPP17-0065; Global Change Observation
Mission–Climate (GCOM-C) from JAXA; Inter-American
Institute for Global Changes Research (IAI/US-NSF GEO1128040 grant); NASA Ocean Biology and Biogeochemistry
Programme/Applied Sciences Programme (proposal 14SMDUNSOL14-0001); United States Environmental Protection
Agency, National Oceanic and Atmospheric Administration;
United States Geological Survey Toxic Substances Hydrology
Program; the Korean Ministry of Oceans and Fisheries
(PM61110); and a sabbatical grant from FCT, Portugal,
SFRH/BSAB/142981/2018","['the Natural Environment\r\nResearch Council', 'National Centre for Earth Observation', 'NERC EO Data Acquisition and Analysis Service', 'European Space Agency Climate Change Initiative', 'the\r\nEuropean Commission', 'OPTIMA', 'NASA', 'Global Change Observation\r\nMission–Climate', 'JAXA', 'IAI/US-NSF GEO1128040', 'NASA', 'Biogeochemistry\r\nProgramme/Applied Sciences Programme', 'United States Environmental Protection\r\nAgency', 'National Oceanic and Atmospheric Administration', 'United States', 'the Korean Ministry of Oceans and Fisheries', 'FCT']"
"This work was supported by the
Simons Collaboration on Computational Biogeochemical
Modelling of Marine Ecosystems/CBIOMES (Grant ID:
549947, SS)","['the\r\nSimons Collaboration on Computational Biogeochemical', 'Marine Ecosystems', 'SS']"
"This
work was also supported by funding from the European
Union’s Horizon 2020 Research and Innovation Programme
grant agreement N◦ 810139: Project Portugal Twinning for
Innovation and Excellence in Marine Science and Earth
Observation – PORTWIMS","['the European\r\nUnion’s Horizon 2020 Research and Innovation Programme', 'N◦ 810139:', 'Project Portugal Twinning']"
", Grant, M","['Grant, M']"
", Grant, M","['Grant, M']"
"Funding: This work was sponsored by a public grant overseen by the French National Research
Agency as part of the “Investissements d’Avenir” through the IMobS3 Laboratory of Excellence
(ANR-10-LABX-0016), the IDEX-ISITE initiative CAP 20-25 (ANR-16-IDEX-0001) and the RobotEx
Equipment of Excellence (ANR-10-EQPX-0044)","['the French National Research\r\nAgency', 'the IMobS3 Laboratory of Excellence']"
"Declaration of Competing Interest
We declare that we have no financial and personal relationships with
other people or organizations that can inappropriately influence our
work, there is no professional or other personal interest of any nature or
kind in any product, service and/or company that could be construed as
influencing the position presented in, or the review of, the manuscript
entitled, ‘A predictive analytics method for maritime traffic flow complexity
estimation in inland waterways’
Acknowledgments
This research is supported by the National Key Technologies
Research & Development Program (2017YFC0804900, 2017YFC08
04904, 2017YFE0118000), the Hubei Provincial Natural Science
Foundation of China (2019CFA039,2021EH007), the Marie Skło­
dowska-Curie grant agreement No","['the National Key Technologies\r\nResearch & Development Program', 'the Hubei Provincial Natural Science\r\nFoundation of China']"
"Acknowledgements
This research is supported by European Union’s Horizon 2020 research and innovation
programme under grant agreement No 957237, project ENABLING MARITIME
DIGITALIZATION BY EXTREME-SCALE ANALYTICS, AI AND DIGITAL
TWINS (VesselAI)","['European Union’s Horizon 2020', 'AI', 'DIGITAL\r\nTWINS']"
"I also would like to thank the financial support from the Department of Naval
Architecture, Ocean and Marine Engineering, the University of Strathclyde and
China Scholarship Council (CSC)","['the Department of Naval\r\nArchitecture', 'Ocean', 'Marine Engineering', 'the University of Strathclyde', 'China Scholarship Council', 'CSC']"
"Now OpenCPN is supported by more than 20
languages",[]
"ECMWF (accessed 2014), which is established in 1975, is an independent
intergovernmental research institute supported by 34 states",['ECMWF']
"Acknowledgement
The presented research is a continuation of the studies of the Ship
Design Laboratory of National Technical University of Athens funded by
the EU project SHOPERA (2013–2016) and the Joint Industry Project
MARICAR (2016–2018) of NTUA-MARIC","['the Ship\r\nDesign Laboratory of National Technical University of Athens', 'EU', 'SHOPERA', 'the Joint Industry Project']"
