Limits Sentences,Generalized Limit Sentences
"Table 10 Dataset categories
Category

Number

DEVICE

10

Household device electricity usage

7

Single-channel electrocardiogram

ECG

Meaning

IMAGE

32

Images mapped onto 1-D series

MOTION

18

Single-channel activity recognition

SENSOR

24

SIMULATED

Non-human sensor devices

9

SPECTRO

Simulated data

12

One dimensional spectrogram

Table 11 Average rank performance of k-means on problems split by the problem domain
DEVICE

ECG

IMAGE

MOTION

MSM

3",['A limitation: Table 10 Dataset categories \r\n Category \r\n\r\n.']
"123

A review and evaluation of elastic distance functions…
Table 12 Average rank performance of k-medoids clusterer on problems split by the problem domain
DEVICE

ECG

IMAGE

MOTION

SENSOR

SIMULATED

SPECTRO

MSM

3",['A limitation: 123 \r\n\r\n\x0c A review and evaluation of.']
"Standard k-means has the inherent
problem that cluster centres are formed by averaging series, which takes no account of
distortions that elastic distances are designed to compensate for",['A limitation: Standard k - means has the inherent.']
"DBA does adjust for this
problem with k-means, but it is designed specifically for DTW and it comes with a high
computational overhead compared to k-medoids clusterer",['A limitation: DBA does adjust for this \r\n problem.']
"However, run time and memory were not a major constraint for these experiments","['A limitation: However , run time and memory were.']"
Kuhn HW (1955) The Hungarian method for the assignment problem,['A limitation: The Hungarian method for the assignment problem.']
"The
problem addressed was the vanishing gradient problem,
encountered when training on traditional RNNs",['A limitation: The \r\n problem addressed was the vanishing.']
"One very significant advantage of the
implementation of neural networks comprising LSTM units is
the elimination of the aforementioned problem pertaining to
the exponential error gradients vanish for increasing time lag",['A limitation: One very significant advantage of the \r\n.']
"Dropout rate: responsible of dealing with the problem of
overfitting, nevertheless the pitfall of under fitting is eminent
if chosen larger than the model would require",['A limitation: Dropout rate : responsible of dealing with.']
"Only after the number of features have
been reduced to number of features necessary for the problem
of this study, will we choose to remove instead of filling the
blank spots, so as to keep the dataset as intact as possible",['A limitation: Only after the number of features have.']
"Another problem
emerging when considering biofuels as fuel for the global fleet, lies within the origin of the fuel
(Rodionova et al",['A limitation: Another problem \r\n emerging when considering biofuels.']
"However, the intense energy demand for solvent regeneration is a major drawback of the chemical
absorption technology","['A limitation: However , the intense energy demand for.']"
"A drawback of this system is the
occurring wear and tear, due to the movement of the adsorbent within the system",['A limitation: A drawback of this system is the.']
"A potential
drawback of reduced cycle times due to higher cycle frequency, is the lower efficiency of the beds
since saturation of the adsorbent may not be achieved in a short-time period (Wilcox, 2012)",['A limitation: A potential \r\n drawback of reduced cycle.']
"48

4 Carbon capture technologies
Another major drawback of these kinds of adsorbents is their incompatibility to SOx and NOx
contaminants in the flue gas since it causes them to degrade (X",['A limitation: 48 \r\n\r\n\x0c 4 Carbon capture technologies \r\n.']
"Probably the largest issue contributing to the space requirements of this technology, is the need
of intense pre-treatment of the flue gases before CO2 can be captured (Siagian et al",['A limitation: Probably the largest issue contributing to the.']
"However, since space considerations have not been an issue for land-based applications of CC
from flue gases by membrane technologies yet, there is no literature published which is addressing
the occupied space of such a plant","['A limitation: However , since space considerations have not.']"
"4,
the high space demand for the syngas generation as well as the capture-related plants, is another
drawback of this system","['A limitation: 4 , \r\n the high space demand.']"
"The drawback of EGR is the deliberate reduction of the engine’s efficiency, which can be avoided
when water is injected into the combustion chamber to control the temperature",['A limitation: The drawback of EGR is the deliberate.']
"Additionally, the need to install the equipment in restricted
sites is evaluated as a serious problem for the application onboard vessels (H","['A limitation: Additionally , the need to install the.']"
"The safety issues connected to the production and storage of large amounts of O2, which are
requiring the installation in restricted sites, are seen as a major problem for marine applications by
interviewed experts as well (F",['A limitation: The safety issues connected to the production.']
"This problem of
absorption applications onboard vessels was found by Einbu et al",['A limitation: This problem of \r\n absorption applications onboard.']
"This problem occurs in absorption applications in
general, whether post- or pre-combustion",['A limitation: This problem occurs in absorption applications in.']
"Anyhow, this issue
could be easily fixed by adding additional structures to avoid the movement of the beads","['A limitation: Anyhow , this issue \r\n could be.']"
"3

Syngas production not affected by ship’s movement, but by
vibrations; same problem of shifting exhaust gas flow in absorber
column as in post-combustion adsorption, but potentially less
severe (absorption); not impacted by ship’s movement, but
affected by vibrations due to high number of heavy weighted
moving parts increasing wear and tear (adsorption); problems with
seals might be increased by wear and tear due to vibration
(adsorption)
Exhaust gas flow in absorber column is shifting when ship is
moving, impacting distribution of gases in the absorber column;
additional distribution zones required

Score
1

4

5

Fluctuations in energy demand (1",['A limitation: 3 \r\n\r\n Syngas production not affected by.']
"To address this deficiency a buffer of H2 would be required, which could pose an
increased risk and requires additional equipment for the compression of the gaseous H2, to reduce
the volume",['A limitation: To address this deficiency a buffer of.']
"The
drawback of a dual-fuel engine is, that the carbon contained in the fuel is emitted but cannot be
captured",['A limitation: The \r\n drawback of a dual -.']
"In conclusion, pre-combustion CC requires additional technical effort to
overcome the limitation to steady-state operation","['A limitation: In conclusion , pre - combustion CC.']"
An additional problem is the oxidation of solvents with O2 contained in exhaust gases,['A limitation: An additional problem is the oxidation of.']
"A problem in this regard might be, that such filter equipment
could not be selective between the fertiliser and other components, which are also washed out
from the exhaust stream",['A limitation: A problem in this regard might be.']
"Due to this limitation, the study recommends upgrading the power
system by an additional auxiliary engine, to ensure redundancy in case one engine needs to be
taken out of service","['A limitation: Due to this limitation , the study.']"
"Hereby parallels can be seen
to the currently applied SOx-scrubber technology, which allows the use of low-cost fuels with the
drawback of a necessary exhaust gas aftertreatment system",['A limitation: Hereby parallels can be seen \r\n to.']
"On one hand, the limitation to TRL 4 or higher may exclude CC technologies, that
could have performed better than the ones included in the assessment","['A limitation: On one hand , the limitation to.']"
"Therefore, the limitation to
TRL 4 and higher allows to ensure, that all technologies passing the excluding criteria are
considered for the assessment","['A limitation: Therefore , the limitation to \r\n TRL.']"
"Rather than evaluating what space
is required to achieve a certain capture-rate, such research should be based on a given space and
evaluate, what capture-rate can be achieved with this space constraint",['A limitation: Rather than evaluating what space \r\n is.']
", using Aspen) of the identified CC processes on such a
common basis could resolve this issue, since it would be based on unbiased figures rather than
qualified assumptions comparable data","['A limitation: , using Aspen ) of the identified.']"
CO2 Capture Technologies: Pre-combustion capture (Issue January),['A limitation: CO2 Capture Technologies : Pre - combustion.']
Technology readiness and costs of CCS (Issue March),['A limitation: Technology readiness and costs of CCS (.']
"Evaluation of the Marine Application of Advanced Carbon Capture Technology, 2019 TTRIG Project Report (Issue July)",['A limitation: Evaluation of the Marine Application of Advanced.']
"(2019)

Two
container
ships
A cruise
ship

Ship operational data and
sea and weather data
from the ship’s automatic
monitoring system, AIS,
and weather hindcast
information
Ship operational data and
sea and weather data
from onboard sensors and
software
Ship operational data and
sea and weather data
from noon report
Ship operational data
from AIS

A dynamic
optimization
method proposed
by the authors
Development of a
DSS by Excel and
Matlab

Transportation
Research Part D

Farag (2017)*

Wind speed,
water depth, and
fuel consumption
per meter
Fuel consumption

To propose a twoobjective
optimization
problem regarding
fuel consumption
and speed
To minimize fuel
consumption

Sailing speed,
RPM, trim,
wind and sea
effects
Propeller
pitch and
engine
rotation
speed

Fuel consumption
per day

ANNs

To minimize fuel
consumption

ANNs

Sailing speed,
trim, speed
and trim
Sailing speed

Enumeration and
dynamic
programming
Four improved
PSO algorithms

Transportation
Research Part B

Fuel consumption
per hour

The RMSE ranges
from 8","['A limitation: Wind speed , \r\n water depth ,.']"
"89% in test set

To minimize fuel cost

Route

Asymmetric
traveling
salesman problem
algorithm

The Asian Journal
of Shipping and
Logistics

Yan et al",['A limitation: 89 % in test set \r\n\r\n To.']
Another main drawback of BBMs is their poor interpretability: the models are usually complex and difficult to intuitively explain,['A limitation: Another main drawback of BBMs is their.']
"As they are trained in a purely data-driven way, they are not informed by basic vessel physical knowledge, and thus experts in the
shipping industry have difficulty accepting them",['A limitation: As they are trained in a purely.']
"As both ship sailing speed and engine power (and thus fuel
consumption) are set based on the surrounding sea and weather conditions together with other external factors, the problem of
endogeneity in these studies is inevitable",['A limitation: As both ship sailing speed and engine.']
The only study that addresses the endogeneity problem is that by Adland et al,['A limitation: The only study that addresses the endogeneity.']
"(2020),
who proposes a novel framework to estimate the elasticity (including speed intervals) of the speed–consumption relationship to
partially address the problem of endogeneity, which enables better exploitation of the explanatory variables and better explanation of
the speed–consumption relationship","['A limitation: , \r\n who proposes a novel framework.']"
"(2020b) that a pairwise correlation between two independent variables indicates a potential multicollinearity problem,
whereas further examination of tolerance and the variance inflation factor (VIF) does not yield any multicollinearity concerns",['A limitation: ( 2020b ) that a pairwise correlation.']
"In
addition, the authors claim that as their research focuses on fuel consumption prediction rather than identification of the factors
affecting fuel consumption and their detailed effects, the problem of multicollinearity can be safely ignored","['A limitation: In \r\n addition , the authors claim.']"
"Moreover, some ML models can inherently overcome the problem of correlations between features","['A limitation: Moreover , some ML models can inherently.']"
"Another issue is the lack of comparison and systematic analysis of the various ML
models used for fuel consumption prediction using different datasets",['A limitation: Another issue is the lack of comparison.']
"Consequently, the problem of endogeneity is inevitable in ship fuel consumption prediction
models","['A limitation: Consequently , the problem of endogeneity is.']"
"Therefore, the problem of endogeneity is rarely discussed in the context of ML-based prediction models","['A limitation: Therefore , the problem of endogeneity is.']"
"The problem of feature
correlation can also be addressed in the process of feature engineering, especially by feature selection through filter-based (by
considering the relevance of each feature and the prediction target), wrapper-based (by considering the influence of each feature on
the prediction performance), and embedded methods (conducted by a specific prediction model) (Harrington, 2012)",['A limitation: The problem of feature \r\n correlation can.']
"• Easy to understand and
implement
• Computationally
inexpensive
• Able to provide an adequate
and interpretable
description of how the
inputs affect the output
• Able to outperform fancier
nonlinear models especially
with small numbers of
training cases
• Address the problem of
multicollinearity in data
when LR is applied
• Reduce the problem of
overfitting
• Relative interpretability can
be retained
• A single tree is easy to
understand and interpret,
which also allows for visual
representation
• Little data preprocessing is
needed, and can even deal
features with missing values
• Feature selection happens
automatically when a tree
grows
• Single DTs are easy to be
ensembled
• Different types of pruning
methods can be applied to
improve model
generalization ability
• Kernels can be used to
effectively deal with highdimensional data
• Work very well when there
is clear margin of separation
between classes
• As only a subset of training
points (i",['A limitation: Address the problem of \r\n multicollinearity in.']
"The problem of parameter
estimation of the developed WBM is
formulated as a least squares
minimization model and solved by a
generic algorithm based on real
operational data",['A limitation: The problem of parameter \r\n estimation of.']
Statistical modelling of ship operational performance monitoring problem,['A limitation: Statistical modelling of ship operational performance monitoring.']
The shore power deployment problem for maritime transportation,['A limitation: The shore power deployment problem for maritime.']
"However, the major process challenge
and a bulk of the model development work occurs at the
center of the design V vertex where the production control
strategy and calibration are integrated into the Simulink
environment","['A limitation: However , the major process challenge \r\n.']"
"Pseudo-code Include Section of S-Function
Template File

A second run-time calibration update method of a calibration
override from variables in the MATLAB workspace was
developed to address this issue",['A limitation: Pseudo - code Include Section of S.']
Considerable theoretical and experimental work has been done on this problem,['A limitation: Considerable theoretical and experimental work has been.']
"16

Limitations of Machine Learning
Performance of a ML algorithm can be very good if the characteristics of the training data match the
observed data
If the characteristics of the data change over time, and this is not captured in the training data, the
performance of the ML algorithm can vary widely

%V'
Training
data

Characteristics
change

17 I

Limitations of Machine Learning
For some problems, there is a known non-machine learning solution that is efficient, elegant, and
robust
Is machine learning the best fit for my problem","['A limitation: 16 \r\n\r\n Limitations of Machine Learning \r\n.', 'A limitation: For some problems , there is a.']"
"Wow, I applied
machine learning
to solve my
problem","['A limitation: Wow , I applied \r\n machine learning.']"
"Tom Mitchell, Machine Learning, 1997

23 I

Many Types of Tasks and Methods
Tasks:

Methods:

• Supervised vs Unsupervised

• Decision Trees

• Classification

• Rule-Based Methods

• Clustering

• Neural Networks

• Regression

• Inductive Logic

• Anomaly Detection
• Time Series Analysis

• Support Vector Machines
• Bayesian Methods

• Policy Learning
• Genetic Algorithms
- Transfer Learning
Statistical Algorithms
Ensembles

24

I

Example Problem: Handwriting Recognition
Task (T): Recognizing and classifying handwritten numbers within images
Performance measure (P): Percent of numbers correctly classified
Experience (E): Database of handwritten numbers with given classifications

WWI 0

label 1

label 2

1
I
1

z

3 crt
3 ti 5
3
label 3

label 4

label 5

label 6

label 7

label 8

label 9

label 3

label 4

label 5

label 6

label 7

label 8

label 9

labek 0

label 1

label 2

label 0

label 1

label 2

label 3

label 4

label 5

label 6

label 7

laber

label 1

label 2

label 3

label 4

label 5

label 6

label 1

label 2

label 4

IaCeL 5

label 6

er at
label 8

label 9

label 7

label 8

label 9

label 7

label 8

labeL

3
label 3

Example adapted from Tom Mitchell, Machine Learning, 1997

1

Data from MNIST database, http://yannlecun",['A limitation: I \r\n\r\n Many Types of Tasks and.']
"Circuits (a), (b),(c) represent same
logical function

e

®

(b)

0

VC < 490

0

3 layers
19 gates
50 connections
VC < 798

® ® ® ® ® ® ®0® ® ® ® ®0® ®
A

Many theoretical constructs attempt to
explicitly manipulate this trade, yet it
remains a vexing problem","['A limitation: Circuits ( a ) , ( b),(c.']"
"©_ _ _ _ _ _ _ _ _

CD
CD
CD
©
3 3 3 3 3 3 3 0
A
A
A
A
A
A
A
A
A B C D E F
IJKL MNOP
G H

Can view gates and connections as
learnable parameters
• All things equal,(a) is a much easier
learning problem and most likely to
generalize well",['A limitation: © _ _ _ _ _ _.']
"4 layers
15 gates
30 connections

B

(c)

C

D

E

GH

KLMNO
2 layers
65 gates
320 connections
VC < 5815

32

Learning Example: Image Analysis
Task: Classify pixels as tree, grass, roof, water, concrete, or boat
Performance Metric: Accuracy
Experience: Labeled pixels

NV

RGB Color

Height

Labels

Predictions

33 I

Learning Example: Image Analysis
As we develop an application, we need to
ask:
• How else might we formulate the problem",['A limitation: Labeled pixels \r\n\r\n NV \r\n\r\n RGB Color.']
"gov)
September 9, 2019

44

Outline
Factors in deciding upon a machine learning approach
Classes of Machine Learning
• Supervised Learning
• Unsupervised Learning
• Semi-Supervised Learning
• Reinforcement Learning

Information Representation

E

45

Deciding Upon a Machine Learning Approach
What problem are you trying to solve","['A limitation: gov ) \r\n September 9 , 2019.']"
The species problem in Iris,['A limitation: The species problem in Iris.']
The species problem in Iris,['A limitation: The species problem in Iris.']
"• Euclidean distance often used
• Often data- and problem-dependent

o When to stop iterating",['A limitation: • Euclidean distance often used \r\n •.']
"Information Representation is Key to Machine Learning
59 I Success

111-1 Fil

Aforementioned examples assume that the data is already in the correct form to solve the problem

Knowledge Elicitation
• Gaining knowledge from Subject Matter Experts

Feature engineering / Data wrangling

■

• Getting the data in a form useful for answering the pertinent questions
• Often an iterative process

Feature selection
• Some features may be irrelevant
• Many algorithms are robust to this, but irrelevant features can degrade performance or cause machine learning methods to take
longer than desired

Data properties
• Are the relevant features included",['A limitation: I Success \r\n\r\n 111 - 1 Fil.']
"Ax
x E Qn
Classic example: Linear Assignment Problem (LAP)

LLcuxu
x JEN
s",['A limitation: Ax \r\n x E Qn \r\n Classic.']
"Lx,, =1 Vj E N
arg min

iEN

We generally assume that an
algebraic description of the
underlying problem is available

iEN

I
JEN

Xinj =1

Vi E N
VieNjEN

Popular extensions:
• Mixed-integer programming
• Non-linear programming
• Stochastic programming
• Robust optimization

63 I

Machine Learning and Optimization (I)
N","['A limitation: Lx , , = 1 Vj E.']"
"Regression une
Linear regression is an optimization problem
n

20",['A limitation: Regression une \r\n Linear regression is an.']
"----effal'

term (š)

Slope-intercept
parameters of a line

i0
WO

360
0
9

0
0 -0C 0

044,do

Non-linear regression is still an
optimization problem - you just shift
from linear programming to nonlinear programming models and
methods

D

0

0
0
0
0
ao","['A limitation: -0C 0 \r\n\r\n 044,do \r\n\r\n Non -.']"
"The special issue
include papers from two primary themes: novel machine learning models and novel optimization
approaches for existing models",['A limitation: The special issue \r\n include papers from.']
"""Optimization problems lie at
the heart of most machine
learning problems""

66

Machine Learning and Optimization (4)
Stochastic gradient descent (SGD) - a now standard optimization
method - is at the center of the deep learning revolution

Training of deep (autoencoder)
neural networks is a non-linear
optimization problem to minimize
reconstruction errors

There is still much more that optimization can do for
machine learning, e","['A limitation: "" Optimization problems lie at \r\n the.']"
"Decision making in power systems looks at processes ranging from very large time constants to
near real-time:
Years, Seasons, Months, Weeks: Resource adequacy, transmission and hydro resource
planning
Days: Hydro-thermal coordination, day-ahead UC of energy and reserves, intra-day UC
Hours: intra-day look-ahead processes, dynamic economic dispatch
Minutes: Economic Dispatch (ED)
Seconds: Automatic Generation Control (AGC)

Years

Months

• Forward Capacity Markets
• Hydro planning

Weeks

Day

• Hydro-thermal coordination
• DA M energy and rese—nre
• LJC

Real-time
• ED

Time

Every problem at the five minute and larger time scales is formulated and
solved as an optimization problem

68

ML for Power Systems Optimization:Warm Starting
The time required to solve operations problems such as commitment and dispatch can be
significantly lowered by up to 80% via ""warm starting"" - use historical data to fit a ML model that
predicts what are likely to be high-quality solutions for a given

Learning to Solve Large-Scale Security-Constrained Unit
Commitment Problems
klinson S","['A limitation: Every problem at the five minute and.', 'A limitation: Warm Starting \r\n The time required to.']"
"Security-Constrained Unit Commitment(SCUC)is a fundamental problem in power systems

Abstract

and electricity markets",['A limitation: Security - Constrained Unit Commitment(SCUC)is a fundamental.']
"Based on statistical data, we predict redundant

Keywords

constraints in the formulation, good initial feasible solutions and alfine subspaces where the optimal
solution is likely to lie, leading to significant reduction in problem size","['A limitation: Based on statistical data , we predict.']"
"Computational results on a

Metrics

Abstract:
This paper discusses several methods to improve commercial optimization solver performance on day
ahead security constrained unit commitment through warm start and lazy constraint settings",['A limitation: Computational results on a \r\n\r\n Metrics \r\n\r\n.']
"Data analytics
is performed to greatly improve the quality of the initial commitment solution and lazy constraint setting",['A limitation: Data analytics \r\n is performed to greatly.']
"and are equally applicable in planning and real-time contexts

73

ML for Accelerating National-Scale Grid Computation
Future El Case (ERGIS, from NREL)

Voltage(kV)
--- DC Line
765
500
345
230-287
100-161

Significant technology development efforts
required to execute ERGIS cases in tractable
run times

Time Domain Partitioning of
Electricity Production Cost
Simulations
Clayton Barrows, Marissa Hummon,
Wesley Jones, and Elaine Hale

-11K generators in entire system
• Includes two very large ISOs
• Difficult to solve in isolation, let alone in a
coordinated manner
• Major challenges for solving core operations
simulations such as commitment and dispatch

ML methods for accelerating
commitment and dispatch
optimization model solves can
potentially yield order-of-magnitude
reductions in run times

74 I

ML-Based Grid Situational Awareness and Control
Significant emerging efforts in the realm of ML for
proactive power grid operations via deep ML
From Grid Eye to Grid Mind

Smarter Grid 11111111111""11
Prepare for The Future

-A Data-driven Autonomous Grid Dispatch Robot Based on PMU Measurements

salad gnd research mange helps Me power gnd nrn more efIltrendy and reyably

Di Shi, Ruisheng Diao, Jiajun Duan, Bei Zhang,Zhe Yu,Zhiwei Wang, Xiao Lu*,
Haifeng Li*, Chunlei Xu*, Yar
GEIRI North America(GEIRINA
*State Grid Jiangsu Electric Power(

r""-

L2RPN Challenge
- Learning to Run a Power Network throu,

April I 5-1 7, 21

GEIRI North America

Research Areas

Global Energy IntercconectIon Research Instaute North America(GEIRI Nonh

Graph Computing & Grid

Amen","['A limitation: and are equally applicable in planning and.', 'A limitation: Smarter Grid 11111111111""11 \r\n Prepare for The.']"
"AI for Controls and Protection Applications

Vlach topic includes:
Overview — AI challenges, problem statement, and current areas where AI has been successful
2",['A limitation: AI for Controls and Protection Applications \r\n\r\n.']
"Example Project — Specific example using AI to solve this challenge
3",['A limitation: Example Project — Specific example using AI.']
"Yu,'A Comprehensive Evaluation of Supervised Machine Learning for the Phase
Identification Problem,"" World Acad","[""A limitation: Yu,'A Comprehensive Evaluation of Supervised Machine Learning.""]"
"gov)
September 9, 2019

92 I

Artificial Intelligence for Power System Model Calibration

To provide more technical insight into AI applied to power systems problems, this section goes through an
example,including the design of the problem, AI workflow, data needs, and some of the technical issues","['A limitation: gov ) \r\n September 9 , 2019.']"
"0

r

Cust 8

•••

Time

Time

Time

Cust 2

Cust 5

Cust 7

Lr

zr

Time

Time

al

cc

o

Lr
Time

•
•
•

Question: What
expert knowledge
can be leveraged
in formulating the
problem",['A limitation: Cust 7 \r\n\r\n Lr \r\n\r\n zr \r\n\r\n.']
"1

95

Types of Al to Solve Phase Identification Problem

1

From the previous overview, there are many types of AI/ML that could be used to solve this problem",['A limitation: 1 \r\n\r\n\x0c 95 \r\n\r\n Types of Al.']
"Solutions to the Phase Identification Task

Supervised

• Learning based on the known
phases of some customers

Unsupervised

• Clustering of customers with
similar responses

Physicsconstrained
Physical
Model Fitting

1
J

• Using physical characteristics o
the network
ma
• Learning the best physical model
that represents the system

1

I
The next slides will go into the details of
each options with some appropriate
references for how that type of Al/ML was
applied to the phase identification problem

1

Supervised Phase Identification

96

I

Supervised machine learning can be trained to learn characteristics to identify each customer's phase
o For example, some portion of the customers on the feeder can be physicaliy evaluated for their phase, and these customers are
used as the training set with known phases",['A limitation: The next slides will go into the.']
"Yu, ""A Comprehensive Evaluation of Supervised Machine Learning for the Phase Identification Problem,"" World Acad","['A limitation: Yu , "" A Comprehensive Evaluation of.']"
"259-265

99 I

Phase Identification with Physical Model Fitting
120

121

4698
122 123

124

125

Known power system models can be applied to the problem to
determine which physical model is better",['A limitation: 259 - 265 \r\n\r\n\x0c 99 I \r\n\r\n.']
"Question: Why did
you select that
type of Al for this
problem",['A limitation: Question : Why did \r\n you select.']
"Alternatively, RNNs have been designed and adapted originally to address the problem of the simplicity and
fixed architecture","['A limitation: Alternatively , RNNs have been designed and.']"
"The vanishing or fading gradient accrues
when the pervious gradient shares a problem over time due to declining or growing error through weight updating
repeatedly",['A limitation: The vanishing or fading gradient accrues \r\n.']
"Nevertheless, LSTM procedure will reduce the
problem through implementing persistent error movement over persistent error carrousels via superior components,
allowing for not collapsing error stream “back into time”","['A limitation: Nevertheless , LSTM procedure will reduce the.']"
"However, there have been some successful
approaches to this essential challenge, for example, modifying the state-to-state function transition in order to
encourage the hidden neurons to organize long-term memory, and generate paths in the time-unfolded RNN","['A limitation: However , there have been some successful.']"
"LSTM
was developed and the intention for this technique was to address the problem of capturing the long-term
dependencies",['A limitation: LSTM \r\n was developed and the intention.']
"Other methods have
been attempted to resolve the problem of long-term dependencies, such as, Grid LSTM and Multi-dimensional
networks [9, 12, 13]",['A limitation: Other methods have \r\n been attempted to.']
"The SCA algorithm can be very deductive in
solving a real problem with unknown search spaces [16]",['A limitation: The SCA algorithm can be very deductive.']
"To crack this problem, we divided the column into
three attributes and remove the unneeded value to make the data set clear and ready to process","['A limitation: To crack this problem , we divided.']"
"References
[1] Sepp Hochreiter, Yoshua Bengio, Paolo Frasconi, and Juergen Schmidhuber (2001) “Gradient flow in recurrent nets: the difficulty of learning
long-term dependencies”",['A limitation: References \r\n [ 1 ] Sepp Hochreiter.']
"Friedman (1940), “A Comparison of alternative tests of significance for the problem of m rankings,” The Annals of Mathematical
Statistics, 11(1): 86–92","['A limitation: Friedman ( 1940 ) , “ A.']"
"The diversity and popularity of nature-inspired algorithms do not mean there is no
problem that needs urgent attention",['A limitation: The diversity and popularity of nature -.']
", the traveling salesman problem and protein structure
prediction) can be solved more efficiently","['A limitation: , the traveling salesman problem and protein.']"
"Then
we discuss the general formulation of an optimization problem and describe modern
approaches in terms of swarm intelligence and bio-inspired computation",['A limitation: Then \r\n we discuss the general formulation.']
"You might wonder
that it could be the problem of initial value x0",['A limitation: You might wonder \r\n that it could.']
"From a mathematical point of view, an algorithm A tends to generate a new and
better solution xt+1 to a given problem from the current solution xt at iteration or time
t","['A limitation: From a mathematical point of view ,.']"
"It is worth pointing out that we can also write the inequalities in the other way, ≥0, and
we can also formulate the objectives as a maximization problem",['A limitation: It is worth pointing out that we.']
"Such a problem is called a feasibility problem because any feasible solution is an optimal
solution",['A limitation: Such a problem is called a feasibility.']
"If there is no constraint at all, J = K = 0, then it is called an unconstrained optimization
problem",['A limitation: If there is no constraint at all.']
"If K = 0 and J ≥ 1, it is called an equality-constrained problem, whereas
J = 0 and K ≥ 1 become an inequality-constrained problem",['A limitation: If K = 0 and J ≥.']
"One drawback is that the volume of satisfying an equality is
essentially zero in the search space, thus it is very difficult to get sampling points that
satisfy the equality exactly",['A limitation: One drawback is that the volume of.']
